# t (s)	mx ()	my ()	mz ()
5.6109872998432536e-11	0.1715907	0.13243133	0.12620407
5.7098562186137195e-11	0.17770925	0.14270651	0.12944616
5.810071075539439e-11	0.18293418	0.15285672	0.13290821
5.910283594771138e-11	0.18718393	0.16220377	0.1363357
6.012688903377085e-11	0.1904014	0.17055313	0.13969879
6.100168552092778e-11	0.19210699	0.17655167	0.14269367
6.207053634227614e-11	0.1932261	0.18278368	0.14632522
6.314166678566914e-11	0.19313632	0.18721095	0.14989768
6.405562281021771e-11	0.19220887	0.18941087	0.15295626
6.516645967412069e-11	0.18983832	0.18965149	0.15641718
6.611526891360406e-11	0.18676303	0.1880217	0.15939792
6.707150728446473e-11	0.18259768	0.18445484	0.16237488
6.802069570623887e-11	0.17779529	0.17987323	0.16516963
6.913764548506618e-11	0.17102776	0.173107	0.1683088
7.008125191050494e-11	0.16468395	0.16654474	0.17068307
7.105331750223487e-11	0.15779424	0.1587683	0.1731499
7.202665096887126e-11	0.1505246	0.14998081	0.17541093
7.300847853065106e-11	0.14305447	0.14070109	0.17757685
7.402184986219185e-11	0.1352651	0.13088489	0.17971191
7.504015995053962e-11	0.12749611	0.12106722	0.18170035
7.607038166539164e-11	0.11974618	0.11139841	0.18366972
7.709627775072702e-11	0.11244406	0.10223135	0.18570608
7.812749202692987e-11	0.10560692	0.09395993	0.18770431
7.91659774676011e-11	0.09939357	0.086618714	0.18990915
8.020589286616748e-11	0.09348619	0.080147766	0.19221132
8.104129655412448e-11	0.08923697	0.07575888	0.19420773
8.211247835214677e-11	0.08474429	0.07131575	0.19684237
8.319643328609372e-11	0.08145689	0.06831851	0.1996588
8.410100031845789e-11	0.07987836	0.06696721	0.20209756
8.500572227238007e-11	0.07928148	0.0666609	0.2045843
8.613461464809664e-11	0.080146305	0.06771351	0.20765151
8.705830139395132e-11	0.08224364	0.06969719	0.21016094
8.81990216602144e-11	0.08662204	0.07364503	0.21302134
8.913177903938257e-11	0.091674425	0.07789333	0.2153725
9.00465437982096e-11	0.09785812	0.08259506	0.21760137
9.116767592092234e-11	0.107002266	0.08912233	0.2202352
9.207352077196034e-11	0.11545271	0.09457757	0.22230473
9.3157405541983e-11	0.12666053	0.10134242	0.22468485
9.401221346800054e-11	0.13603671	0.10701864	0.22661792
9.506319730066853e-11	0.1479363	0.11444029	0.22903591
9.611434671564782e-11	0.1600663	0.1218068	0.23156458
9.71466942162625e-11	0.17173176	0.12845017	0.23415114
9.818799891116724e-11	0.18288693	0.13496952	0.2368058
9.900768244417328e-11	0.19083676	0.14005621	0.23903528
1.0003248589465404e-10	0.19940934	0.1459882	0.24194612
1.0105477480477197e-10	0.20622922	0.15127134	0.24488176
1.0206226567463909e-10	0.21132681	0.15573993	0.24793026
1.030628692842391e-10	0.21469432	0.15947494	0.2509882
1.0405600013288866e-10	0.21615455	0.16244277	0.25404856
1.0504494222181767e-10	0.21555471	0.16450848	0.25705618
1.0601309817170986e-10	0.21292917	0.1655324	0.26002923
1.0715428622300219e-10	0.20753509	0.16563255	0.26354265
1.0809031275799681e-10	0.20138282	0.16492002	0.2663752
1.0902167069936584e-10	0.19401535	0.16345634	0.26913103
1.1013449698533123e-10	0.18384531	0.16039011	0.27239951
1.1105692708296697e-10	0.17446151	0.15686472	0.27502462
1.1215289519696355e-10	0.16239917	0.151835	0.2781682
1.1305941248850354e-10	0.15182936	0.14716418	0.2807107
1.1414838971454331e-10	0.13876726	0.14116763	0.28374025
1.150599331687835e-10	0.12789157	0.13582689	0.28626624
1.161606170747793e-10	0.11522989	0.12902611	0.28930658
1.170866484052447e-10	0.10510423	0.12297499	0.2918819
1.180214334515869e-10	0.09570797	0.11682208	0.29444697
1.191441913690251e-10	0.0858058	0.10982319	0.29745275
1.2007536547517746e-10	0.078867406	0.10450294	0.29990694
1.210105757685659e-10	0.073172495	0.09975282	0.30232045
1.2213748134827198e-10	0.0682309	0.094857104	0.30518395
1.230742739890302e-10	0.06581448	0.091467634	0.3074625
1.240164357378686e-10	0.0650442	0.088751785	0.3096687
1.2515165845128166e-10	0.06634802	0.08625132	0.31230542
1.2609043964852894e-10	0.06925167	0.0848443	0.31439143
1.2702441978185563e-10	0.07376933	0.08406446	0.31638387
1.2813702732097248e-10	0.0811635	0.083991535	0.31868976
1.2905806372308478e-10	0.08874745	0.08463274	0.32056874
1.3015932206543487e-10	0.09929407	0.08605104	0.32274976
1.3107434163879492e-10	0.10903789	0.08763443	0.32450646
1.3217013366344847e-10	0.12154671	0.090073764	0.32662222
1.3308210913843986e-10	0.13250123	0.092564486	0.32844016
1.3417812497632e-10	0.14616185	0.09593093	0.33068353
1.3509242803092753e-10	0.15771692	0.0987884	0.33266193
1.3600778260158086e-10	0.16913833	0.10175813	0.33469003
1.3710297594200614e-10	0.18211916	0.10555203	0.33724922
1.3801025590089507e-10	0.19191253	0.10881642	0.33950883
1.3909906965424423e-10	0.20232645	0.11287429	0.3423811
1.4000680487662583e-10	0.20973101	0.11635412	0.34489423
1.4109405044515947e-10	0.21674903	0.120566495	0.3480318
1.4217777919706318e-10	0.22139595	0.124715015	0.35132545
1.43082914461871e-10	0.22338302	0.12815994	0.3541908
1.441742572132412e-10	0.22347595	0.13239175	0.35772467
1.4508696656061533e-10	0.22167912	0.13592929	0.36075824
1.4600508154177132e-10	0.21821783	0.1393331	0.36383194
1.4711486703704794e-10	0.21189648	0.14319205	0.36757925
1.4804227360772e-10	0.20488322	0.14616042	0.37072697
1.4915263331591916e-10	0.19468915	0.14933646	0.37445182
1.5007710159457496e-10	0.18502717	0.15149677	0.37750685
1.5100412992336812e-10	0.17449509	0.15303607	0.38051265
1.5212111785851205e-10	0.16104461	0.15405813	0.38401142
1.5305133945195586e-10	0.1494859	0.15438147	0.386812
1.5415551039340624e-10	0.13563465	0.15417618	0.38999924
1.550690169650448e-10	0.12437599	0.15351705	0.3925107
1.5615945766640443e-10	0.111552075	0.15202074	0.39532527
1.5706659271225284e-10	0.10174077	0.15009047	0.3975265
